forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.1,20,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.25,20,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.5,20,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.75,21,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.9,23,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.975,25,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.025,1120,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.1,1130,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.25,1141,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.5,1155,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.75,1173,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.9,1193,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00+,quantile,0.975,1220,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.025,25,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.1,25,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.25,25,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.5,25,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.75,27,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.9,30,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,05-14,quantile,0.975,32,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.025,146,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.1,146,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.25,146,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.5,146,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.75,149,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.9,152,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,15-34,quantile,0.975,156,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.025,388,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.1,392,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.25,396,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.5,402,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.75,409,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.9,417,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,35-59,quantile,0.975,429,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.025,357,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.1,361,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.25,365,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.5,371,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.75,379,COVID-19
