date,location,age_group,value
2020-11-25,GM04,05-14,0
2020-11-25,GM04,15-34,2
2020-11-25,GM04,35-59,30
2020-11-25,GM04,60-79,44
2020-11-25,GM04,80+,49
2020-11-25,GM06,00-04,3
2020-11-25,GM06,00+,376
2020-11-25,GM06,05-14,1
2020-11-25,GM06,15-34,38
2020-11-25,GM06,35-59,92
2020-11-25,GM06,60-79,123
2020-11-25,GM06,80+,119
2020-11-25,GM03,00-04,0
2020-11-25,GM03,00+,71
2020-11-25,GM03,05-14,1
2020-11-25,GM03,15-34,5
2020-11-25,GM03,35-59,20
2020-11-25,GM03,60-79,22
2020-11-25,GM03,80+,23
2020-11-25,GM07,00-04,15
2020-11-25,GM07,00+,1870
2020-11-25,GM07,05-14,16
2020-11-25,GM07,15-34,160
2020-11-25,GM07,35-59,441
2020-11-25,GM07,60-79,662
2020-11-25,GM07,80+,576
2020-11-25,GM05,00-04,7
2020-11-25,GM05,00+,789
2020-11-25,GM05,05-14,4
2020-11-25,GM05,15-34,75
2020-11-25,GM05,35-59,183
2020-11-25,GM05,60-79,270
2020-11-25,GM05,80+,250
2020-11-25,GM08,00-04,1
2020-11-25,GM08,00+,302
2020-11-25,GM08,05-14,1
2020-11-25,GM08,15-34,21
2020-11-25,GM08,35-59,57
2020-11-25,GM08,60-79,117
2020-11-25,GM08,80+,105
2020-11-25,GM01,00-04,7
2020-11-25,GM01,00+,991
2020-11-25,GM01,05-14,8
2020-11-25,GM01,15-34,81
2020-11-25,GM01,35-59,179
2020-11-25,GM01,60-79,353
2020-11-25,GM01,80+,363
2020-11-25,GM02,00-04,6
2020-11-25,GM02,00+,1349
2020-11-25,GM02,05-14,5
2020-11-25,GM02,15-34,85
2020-11-25,GM02,35-59,254
2020-11-25,GM02,60-79,460
2020-11-25,GM02,80+,539
2020-11-25,GM09,00-04,1
2020-11-25,GM09,00+,57
2020-11-25,GM09,05-14,0
2020-11-25,GM09,15-34,4
2020-11-25,GM09,35-59,9
2020-11-25,GM09,60-79,18
2020-11-25,GM09,80+,25
2020-11-25,GM16,00-04,6
2020-11-25,GM16,00+,571
2020-11-25,GM16,05-14,4
2020-11-25,GM16,15-34,48
2020-11-25,GM16,35-59,111
2020-11-25,GM16,60-79,213
2020-11-25,GM16,80+,189
2020-11-25,GM11,00-04,1
2020-11-25,GM11,00+,232
2020-11-25,GM11,05-14,2
2020-11-25,GM11,15-34,9
2020-11-25,GM11,35-59,38
2020-11-25,GM11,60-79,80
2020-11-25,GM11,80+,102
2020-11-25,GM12,00-04,2
2020-11-25,GM12,00+,75
2020-11-25,GM12,05-14,0
2020-11-25,GM12,15-34,5
2020-11-25,GM12,35-59,12
2020-11-25,GM12,60-79,32
2020-11-25,GM12,80+,24
2020-11-25,GM13,00-04,3
2020-11-25,GM13,00+,773
2020-11-25,GM13,05-14,8
2020-11-25,GM13,15-34,26
2020-11-25,GM13,35-59,105
2020-11-25,GM13,60-79,299
2020-11-25,GM13,80+,332
2020-11-25,GM14,00-04,0
2020-11-25,GM14,00+,180
2020-11-25,GM14,05-14,2
2020-11-25,GM14,15-34,13
2020-11-25,GM14,35-59,39
2020-11-25,GM14,60-79,62
2020-11-25,GM14,80+,64
2020-11-25,GM15,00-04,1
2020-11-25,GM15,00+,235
2020-11-25,GM15,05-14,3
2020-11-25,GM15,15-34,10
2020-11-25,GM15,35-59,25
2020-11-25,GM15,60-79,90
2020-11-25,GM15,80+,106
2020-11-24,GM,00-04,61
2020-11-24,GM,00+,8147
2020-11-24,GM,05-14,54
2020-11-24,GM,15-34,597
2020-11-24,GM,35-59,1655
2020-11-24,GM,60-79,2895
2020-11-24,GM,80+,2885
2020-11-24,GM10,00-04,0
2020-11-24,GM10,00+,83
2020-11-24,GM10,05-14,2
2020-11-24,GM10,15-34,9
2020-11-24,GM10,35-59,23
2020-11-24,GM10,60-79,32
2020-11-24,GM10,80+,17
2020-11-24,GM04,00-04,2
2020-11-24,GM04,00+,131
2020-11-24,GM04,05-14,0
2020-11-24,GM04,15-34,2
2020-11-24,GM04,35-59,33
2020-11-24,GM04,60-79,44
2020-11-24,GM04,80+,50
2020-11-24,GM06,00-04,3
2020-11-24,GM06,00+,390
2020-11-24,GM06,05-14,2
2020-11-24,GM06,15-34,43
2020-11-24,GM06,35-59,89
2020-11-24,GM06,60-79,129
2020-11-24,GM06,80+,124
2020-11-24,GM03,00-04,0
2020-11-24,GM03,00+,72
2020-11-24,GM03,05-14,1
2020-11-24,GM03,15-34,5
2020-11-24,GM03,35-59,19
2020-11-24,GM03,60-79,23
2020-11-24,GM03,80+,24
2020-11-24,GM07,00-04,18
2020-11-24,GM07,00+,1936
2020-11-24,GM07,05-14,15
2020-11-24,GM07,15-34,168
2020-11-24,GM07,35-59,465
2020-11-24,GM07,60-79,681
2020-11-24,GM07,80+,589
2020-11-24,GM05,00-04,10
2020-11-24,GM05,00+,813
2020-11-24,GM05,05-14,2
2020-11-24,GM05,15-34,71
2020-11-24,GM05,35-59,181
2020-11-24,GM05,60-79,283
2020-11-24,GM05,80+,266
2020-11-24,GM08,00-04,2
2020-11-24,GM08,00+,278
2020-11-24,GM08,05-14,1
2020-11-24,GM08,15-34,19
2020-11-24,GM08,35-59,51
2020-11-24,GM08,60-79,112
2020-11-24,GM08,80+,93
2020-11-24,GM01,00-04,7
2020-11-24,GM01,00+,1040
2020-11-24,GM01,05-14,9
2020-11-24,GM01,15-34,85
2020-11-24,GM01,35-59,196
2020-11-24,GM01,60-79,364
2020-11-24,GM01,80+,379
2020-11-24,GM02,00-04,6
2020-11-24,GM02,00+,1284
2020-11-24,GM02,05-14,5
2020-11-24,GM02,15-34,88
2020-11-24,GM02,35-59,249
2020-11-24,GM02,60-79,439
2020-11-24,GM02,80+,497
2020-11-24,GM09,00-04,0
2020-11-24,GM09,00+,59
2020-11-24,GM09,05-14,0
2020-11-24,GM09,15-34,3
2020-11-24,GM09,35-59,10
2020-11-24,GM09,60-79,18
2020-11-24,GM09,80+,28
2020-11-24,GM16,00-04,7
2020-11-24,GM16,00+,534
2020-11-24,GM16,05-14,2
2020-11-24,GM16,15-34,45
2020-11-24,GM16,35-59,108
2020-11-24,GM16,60-79,203
2020-11-24,GM16,80+,169
2020-11-24,GM11,00-04,1
2020-11-24,GM11,00+,245
2020-11-24,GM11,05-14,3
2020-11-24,GM11,15-34,10
2020-11-24,GM11,35-59,46
2020-11-24,GM11,60-79,86
2020-11-24,GM11,80+,99
2020-11-24,GM12,00-04,1
2020-11-24,GM12,00+,78
2020-11-24,GM12,05-14,0
2020-11-24,GM12,15-34,3
2020-11-24,GM12,35-59,15
2020-11-24,GM12,60-79,33
2020-11-24,GM12,80+,26
2020-11-24,GM13,00-04,3
2020-11-24,GM13,00+,766
2020-11-24,GM13,05-14,8
2020-11-24,GM13,15-34,25
2020-11-24,GM13,35-59,96
